City,Country,date,Lat,Lon,MaxTemp,WindSpeed,Clouds,Humidity
hamilton,US,1600822809,39.18,-84.53,64.99,1.63,1,82
sol-iletsk,RU,1600823101,51.16,54.99,52.65,15.01,99,77
beringovskiy,RU,1600823103,63.05,179.32,45.37,4.09,42,58
cape town,ZA,1600823103,-33.93,18.42,57.0,12.75,11,87
sorong,ID,1600822954,-0.88,131.25,82.92,1.81,100,73
lethem,GY,1600823105,3.38,-59.8,82.62,6.06,6,65
lunino,RU,1600823105,53.59,45.23,53.01,9.22,18,53
pulaski,US,1600822809,34.77,-92.3,64.4,6.93,90,93
port alfred,ZA,1600823106,-33.59,26.89,57.4,3.89,0,69
chuy,UY,1600823106,-33.7,-53.46,49.21,9.53,100,80
bayir,TR,1600823110,37.27,28.22,66.2,3.11,0,88
hofn,IS,1600823110,64.25,-15.21,40.96,10.51,100,65
niamey,NE,1600823110,13.51,2.11,80.6,5.82,0,78
aklavik,CA,1600823111,68.22,-135.01,44.6,2.24,75,81
axim,GH,1600823112,4.87,-2.24,75.06,10.94,100,88
copiapo,CL,1600823112,-27.37,-70.33,55.4,5.82,0,82
sinazongwe,ZM,1600823113,-17.26,27.46,72.86,10.0,0,61
byron bay,AU,1600823113,-28.65,153.62,81.0,2.24,0,53
mansa,IN,1600823114,29.98,75.38,78.55,6.46,0,78
male,MV,1600823114,4.17,73.51,80.6,10.29,75,88
russell,US,1600823115,32.35,-85.2,71.6,3.36,90,60
oeiras,BR,1600823115,-7.03,-42.13,83.41,4.07,0,31
biak,ID,1600823116,-0.91,122.88,81.93,7.23,91,72
grand gaube,MU,1600823116,-20.01,57.66,66.99,3.0,1,74
salalah,OM,1600823116,17.02,54.09,80.6,6.93,75,83
sur,OM,1600823117,22.57,59.53,81.97,0.49,81,38
dalby,AU,1600823117,-27.18,151.27,77.0,10.29,100,29
kudahuvadhoo,MV,1600823118,2.67,72.89,82.42,10.6,100,74
tarakan,ID,1600822924,3.3,117.63,80.73,7.07,100,78
gravdal,NO,1600823119,68.12,13.5,44.85,7.7,100,68
bengkulu,ID,1600823119,-3.8,102.27,80.49,5.35,35,73
puerto ayora,EC,1600823120,-0.74,-90.35,68.0,5.99,62,84
shumskiy,RU,1600823120,54.83,99.13,47.25,3.62,98,83
soe,ID,1600823121,-9.86,124.28,81.54,6.96,2,47
taldan,RU,1600823121,53.67,124.8,47.52,10.0,100,90
portree,GB,1600823121,57.41,-6.19,43.0,1.01,38,91
thatta,PK,1600822833,24.75,67.92,81.95,9.48,24,71
arman,RU,1600823122,59.7,150.17,46.51,4.16,0,54
altay,CN,1600823106,47.87,88.12,55.83,3.13,81,50
dikson,RU,1600823123,73.51,80.55,41.27,12.55,100,83
hays,US,1600823123,30.05,-98.03,73.0,5.01,84,94
timmins,CA,1600823124,48.47,-81.33,62.6,5.82,75,77
mananara,MG,1600823125,-16.17,49.77,66.18,4.74,15,87
bud,US,1600823125,39.45,-86.18,63.0,4.21,1,82
narsaq,GL,1600823125,60.92,-46.05,33.8,11.41,5,34
namibe,AO,1600823126,-15.2,12.15,63.77,3.58,39,90
cherskiy,RU,1600823126,68.75,161.3,38.28,3.47,100,91
los llanos de aridane,ES,1600823127,28.66,-17.92,75.2,10.94,100,88
kholodnyy,RU,1600823127,62.72,147.95,43.23,2.84,100,58
balotra,IN,1600823128,25.83,72.23,86.52,6.02,0,58
chingirlau,KZ,1600823128,51.09,54.08,53.64,14.92,100,75
aras,ES,1600823129,42.56,-2.36,57.2,2.8,7,82
praya,CV,1600823129,14.92,-23.51,78.8,6.93,20,94
severo-kurilsk,RU,1600823129,50.68,156.12,51.33,10.25,0,69
laguna,US,1600823130,38.42,-121.42,86.0,5.01,0,31
tura,IN,1600823130,25.52,90.22,74.34,5.55,94,98
goya,AR,1600823131,-29.14,-59.26,56.05,6.6,0,72
marabba,SD,1600823131,12.35,32.18,78.85,7.67,25,76
cabo san lucas,MX,1600823117,22.89,-109.91,88.0,11.41,20,74
atasu,KZ,1600823132,48.68,71.64,40.93,10.33,8,81
kahului,US,1600822905,20.89,-156.47,87.8,25.28,40,55
zomba,MW,1600823133,-15.39,35.32,58.41,4.34,26,94
kishanpur,IN,1600823134,25.65,81.02,78.03,6.85,100,94
belaya gora,RU,1600823134,68.53,146.42,46.11,6.93,96,74
lavrentiya,RU,1600823135,65.58,-171.0,40.42,6.91,100,85
ponta do sol,PT,1600823135,32.67,-17.1,75.2,6.93,20,73
norman wells,CA,1600823136,65.28,-126.83,60.8,5.82,40,38
mahanoro,MG,1600823136,-19.9,48.8,67.28,5.57,1,89
atambua,ID,1600823137,-9.11,124.89,85.37,2.55,0,48
avera,US,1600823138,33.19,-82.53,64.4,2.91,1,93
salinas,US,1600822908,36.68,-121.66,75.0,9.17,1,56
olafsvik,IS,1600823138,64.89,-23.71,40.19,27.74,89,78
namatanai,PG,1600823139,-3.67,152.43,84.34,4.65,97,68
lerik,AZ,1600823139,38.77,48.41,66.2,2.17,75,100
ambilobe,MG,1600823139,-13.2,49.05,69.93,4.5,79,74
krasnoselkup,RU,1600823140,65.7,82.47,41.76,16.17,100,84
itoman,JP,1600823140,26.12,127.67,86.0,6.93,20,70
lasa,IT,1600823141,46.62,10.7,57.2,3.36,75,100
provideniya,RU,1600823141,64.38,-173.3,46.4,6.71,70,61
vanavara,RU,1600823142,60.34,102.28,43.61,4.54,100,82
ucluelet,CA,1600823142,48.93,-125.55,59.0,12.75,90,93
bethel,US,1600822984,41.37,-73.41,54.0,6.8,1,58
new norfolk,AU,1600823143,-42.78,147.06,57.0,5.99,50,64
egvekinot,RU,1600823143,66.32,-179.17,41.29,3.06,43,66
husavik,IS,1600823144,66.04,-17.34,35.6,8.05,75,93
katsuura,JP,1600823145,35.13,140.3,71.01,23.38,100,90
cashel,IE,1600823145,52.52,-7.89,51.01,5.66,100,92
huilong,CN,1600823146,31.81,121.66,73.0,9.78,100,93
la asuncion,VE,1600823146,11.03,-63.86,81.7,13.11,99,86
lebu,CL,1600823147,-37.62,-73.65,48.87,17.67,61,83
alofi,NU,1600823147,-19.06,-169.92,69.8,9.17,90,94
pryozerne,UA,1600823148,45.27,36.33,64.85,10.78,0,59
sao joao da barra,BR,1600822969,-21.64,-41.05,67.91,27.74,100,93
banda aceh,ID,1600823148,5.56,95.32,81.86,3.78,100,72
samarai,PG,1600823149,-10.62,150.67,79.09,15.84,99,82
bonnyville,CA,1600823149,54.27,-110.73,62.6,6.02,20,36
port hedland,AU,1600823150,-20.32,118.57,86.0,25.28,0,7
vostok,RU,1600823150,46.49,135.88,51.39,1.28,100,84
saldanha,ZA,1600823150,-33.01,17.94,48.2,4.7,0,81
acapetahua,MX,1600823151,15.28,-92.7,87.8,6.93,75,74
saint-georges,GD,1600823152,12.06,-61.75,84.2,6.93,20,79
bambous virieux,MU,1600823152,-20.34,57.76,68.0,9.57,20,88
mar del plata,AR,1600823153,-38.0,-57.56,55.0,9.17,100,71
havelock,US,1600822918,34.88,-76.9,62.6,4.7,1,55
ararat,AM,1600823153,39.83,44.7,59.0,2.24,0,72
gornyy,RU,1600823154,55.12,83.91,42.93,8.37,100,87
salta,AR,1600823154,-24.79,-65.41,62.6,5.82,0,35
lata,PT,1600823155,40.16,-8.33,64.99,3.33,21,87
necochea,AR,1600823155,-38.55,-58.74,53.01,4.0,100,76
nikolskoye,RU,1600823155,59.7,30.79,51.01,2.24,75,93
azovo,RU,1600823156,54.7,73.02,35.6,6.71,40,100
castro,BR,1600823158,-24.79,-50.01,49.77,8.43,16,93
nabire,ID,1600823159,-3.37,135.48,77.14,3.51,100,85
sambava,MG,1600823159,-14.27,50.17,67.66,9.1,4,83
santiago del estero,AR,1600822887,-27.8,-64.26,67.95,9.69,0,31
belmonte,BR,1600823160,-15.86,-38.88,77.0,3.36,75,78
qaanaaq,GL,1600823160,77.48,-69.36,12.85,8.79,0,80
lufilufi,WS,1600823161,-13.87,-171.6,80.6,4.7,90,88
lascahobas,HT,1600823161,18.83,-71.94,86.0,4.7,100,70
rawson,AR,1600823162,-43.3,-65.1,52.77,5.7,0,48
deputatskiy,RU,1600823162,69.3,139.9,42.71,5.3,25,70
sao raimundo nonato,BR,1600823047,-9.02,-42.7,78.37,3.06,36,47
calama,CL,1600823151,-22.47,-68.93,64.4,17.22,0,17
meulaboh,ID,1600823163,4.14,96.13,78.93,2.57,42,84
prestea,GH,1600823164,5.43,-2.14,71.42,3.0,100,96
kropotkin,RU,1600823164,45.44,40.58,58.1,7.96,0,82
umm kaddadah,SD,1600823164,13.6,26.69,84.31,7.54,16,55
clyde river,CA,1600822990,70.47,-68.59,24.8,3.36,1,79
roald,NO,1600822871,62.58,6.13,60.8,13.87,59,63
ust-nera,RU,1600823166,64.57,143.2,46.31,5.73,100,56
kalemie,CD,1600823166,-5.95,29.19,73.15,3.13,0,73
maningrida,AU,1600823166,-12.07,134.27,86.02,10.47,50,56
hasaki,JP,1600822912,35.73,140.83,73.4,10.29,75,88
binga,ZW,1600823167,-17.62,27.34,69.06,5.68,0,60
ostrovnoy,RU,1600823167,68.05,39.51,41.13,7.65,52,83
jizan,SA,1600823168,17.33,42.67,87.8,4.7,79,79
taloqan,AF,1600823168,36.74,69.53,48.69,1.05,0,50
san quintin,MX,1600823169,30.48,-115.95,75.29,12.37,0,60
logan,US,1600822891,41.74,-111.83,82.4,10.29,1,20
humaita,BR,1600823169,-7.51,-63.02,75.61,4.03,100,97
nemuro,JP,1600823170,43.32,145.57,60.8,5.82,75,67
bangkal,PH,1600823170,6.07,121.07,85.21,1.41,18,70
albert lea,US,1600823170,43.65,-93.37,71.6,4.7,1,56
beitbridge,ZW,1600823171,-22.22,30.0,58.41,12.62,0,70
bandarbeyla,SO,1600823171,9.49,50.81,78.49,23.78,26,65
huarmey,PE,1600823171,-10.07,-78.15,61.59,6.8,4,82
thaba nchu,ZA,1600823172,-29.21,26.84,50.0,4.7,3,71
bandar-e lengeh,IR,1600823172,26.56,54.88,84.2,6.93,0,70
santa maria,BR,1600823173,-29.68,-53.81,55.4,6.93,1,82
lagoa,PT,1600823173,39.05,-27.98,69.01,24.99,100,84
kedrovyy,RU,1600823174,56.17,91.82,44.6,4.47,100,81
ajdabiya,LY,1600823174,30.76,20.23,71.1,8.14,0,57
tilichiki,RU,1600823175,60.47,166.1,44.56,4.21,0,59
porto torres,IT,1600823175,40.84,8.4,71.6,4.7,20,88
oktyabrskiy,RU,1600823175,54.48,53.47,55.45,15.1,100,84
kawalu,ID,1600823176,-7.38,108.21,77.0,2.48,46,80
pringsewu,ID,1600823176,-5.36,104.97,80.46,3.02,98,78
iskateley,RU,1600823177,67.68,53.15,39.11,6.04,67,95
ous,RU,1600823177,60.91,61.52,40.78,8.43,36,89
imbituba,BR,1600823177,-28.24,-48.67,60.8,1.12,75,67
faanui,PF,1600823178,-16.48,-151.75,78.17,17.34,2,80
san juan,AR,1600822906,-31.54,-68.54,67.89,8.95,78,24
magugu,TZ,1600823179,-4.02,35.77,62.06,3.04,0,68
opuwo,NA,1600823180,-18.06,13.84,60.19,3.47,7,41
